SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-9-2022,Single Family Residential,12656 74th Pl S,Seattle,WA,98178,499950,2,1.0,Campbell Hill,900,7250,1943,,556,,Sold,,,https://www.redfin.com/WA/Seattle/12656-74th-Pl-S-98178/home/196625,NWMLS,1913165,N,Y,47.4896403,-122.2395174
PAST SALE,June-9-2022,Single Family Residential,510 NE 120th St,Seattle,WA,98125,971000,3,3.0,Pinehurst,2480,7113,1948,,392,,Sold,,,https://www.redfin.com/WA/Seattle/510-NE-120th-St-98125/home/106001,NWMLS,1927890,N,Y,47.7160518,-122.3230067
PAST SALE,June-9-2022,Single Family Residential,217 26th Ave S,Seattle,WA,98144,775000,2,2.5,First Hill,1300,1656,2003,,596,,Sold,,,https://www.redfin.com/WA/Seattle/217-26th-Ave-S-98144/home/142544,NWMLS,1932438,N,Y,47.6003679,-122.2992188
PAST SALE,June-10-2022,Vacant Land,3412 S C St,Tacoma,WA,98418,150000,,,Tacoma,,2500,,,,,Sold,,,https://www.redfin.com/WA/Tacoma/3412-S-C-St-98418/home/179617340,NWMLS,1940819,N,Y,47.2299264,-122.4352204
PAST SALE,June-9-2022,Condo/Co-op,414 Malden Ave E Unit B,Seattle,WA,98112,780000,2,1.5,Broadway,964,,1996,,809,500,Sold,,,https://www.redfin.com/WA/Seattle/414-Malden-Ave-E-98112/unit-B/home/34442,NWMLS,1930387,N,Y,47.6225376,-122.3133656
PAST SALE,June-10-2022,Townhouse,1717 18th Ave Unit C,Seattle,WA,98122,779000,3,1.5,Seattle,1340,1286,2006,,581,,Sold,,,https://www.redfin.com/WA/Seattle/1717-18th-Ave-98122/unit-C/home/12090353,NWMLS,1928114,N,Y,47.6169431,-122.3092821
PAST SALE,June-13-2022,Single Family Residential,855 101st St S,Tacoma,WA,98444,513000,3,2.0,Tacoma,1504,12000,1979,,341,,Sold,,,https://www.redfin.com/WA/Tacoma/855-101st-St-S-98444/home/2969838,NWMLS,1926661,N,Y,47.1661104,-122.4447725
PAST SALE,June-10-2022,Single Family Residential,5614 N 39th St,Tacoma,WA,98407,599950,3,2.0,North Tacoma,1282,6964,1981,,468,,Sold,,,https://www.redfin.com/WA/Tacoma/5614-N-39th-St-98407/home/2851062,NWMLS,1927437,N,Y,47.2840614,-122.5126747
PAST SALE,June-9-2022,Single Family Residential,4002 Browns Point Blvd NE,Tacoma,WA,98422,715000,3,2.5,Harbor Ridge,1888,7770,1991,,379,3,Sold,,,https://www.redfin.com/WA/Tacoma/4002-Browns-Point-Blvd-98422/home/2828900,NWMLS,1931523,N,Y,47.2994856,-122.4103024
PAST SALE,June-10-2022,Townhouse,9729 10th Pl SW,Seattle,WA,98106,715000,4,3.0,Highland Park,1876,1961,2017,,381,328,Sold,,,https://www.redfin.com/WA/Seattle/9729-10th-Pl-SW-98106/home/109660675,NWMLS,1921324,N,Y,47.515742,-122.3485117
