SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,300 N 130th St #8102,Seattle,WA,98133,329000,1,1.0,Bitter Lake,707,,1988,14,465,436,Active,,,https://www.redfin.com/WA/Seattle/300-N-130th-St-98133/unit-8102/home/12538752,NWMLS,1935171,N,Y,47.7234901,-122.3551663
MLS Listing,,Single Family Residential,2610 S 15th St,Tacoma,WA,98405,485000,3,1.0,Central Tacoma,1742,3120,1911,19,278,,Active,,,https://www.redfin.com/WA/Tacoma/2610-S-15th-St-98405/home/2748451,NWMLS,1933059,N,Y,47.2463756,-122.471012
MLS Listing,,Single Family Residential,7821 S G St,Tacoma,WA,98408,459950,4,1.5,Tacoma,1286,5250,1920,20,358,,Active,,,https://www.redfin.com/WA/Tacoma/7821-S-G-St-98408/home/2992083,NWMLS,1932495,N,Y,47.1855992,-122.4405088
MLS Listing,,Single Family Residential,8426 37th Ave S,Seattle,WA,98118,799999,4,2.5,Seattle,1950,8700,1963,43,410,,Active,,,https://www.redfin.com/WA/Seattle/8426-37th-Ave-S-98118/home/480521,NWMLS,1918834,N,Y,47.5270651,-122.285682
MLS Listing,,Single Family Residential,4909 43rd Ave S,Seattle,WA,98118,699999,2,1.0,Columbia City,940,3300,1909,43,745,,Active,,,https://www.redfin.com/WA/Seattle/4909-43rd-Ave-S-98118/home/491033,NWMLS,1918826,N,Y,47.5578154,-122.2797942
MLS Listing,,Single Family Residential,4720 N Ferdinand St,Tacoma,WA,98407,549950,3,1.0,North Tacoma,2068,5400,1912,6,266,,Active,,,https://www.redfin.com/WA/Tacoma/4720-N-Ferdinand-St-98407/home/2989768,NWMLS,1938369,N,Y,47.2925631,-122.502804
MLS Listing,,Mobile/Manufactured Home,10711 16th  Ave Ct S #7,Tacoma,WA,98444,99000,2,1.0,South Tacoma,924,,2005,7,107,,Active,,,https://www.redfin.com/WA/Tacoma/10711-16th-Ave-Ct-S-98444/unit-7/home/3032163,NWMLS,1940379,N,Y,47.1690772,-122.4555842
MLS Listing,,Single Family Residential,401 118th St E,Tacoma,WA,98445,419950,3,2.0,Parkland,1329,9847,2002,8,316,150,Active,,,https://www.redfin.com/WA/Tacoma/401-118th-St-E-98445/home/3008070,NWMLS,1939776,N,Y,47.149702,-122.4254018
MLS Listing,,Single Family Residential,18809 30th Ave E,Tacoma,WA,98446,789950,4,3.0,Frederickson,2800,65340,1979,9,282,,Active,,,https://www.redfin.com/WA/Tacoma/18809-30th-Ave-E-98446/home/2584063,NWMLS,1936413,N,Y,47.0854821,-122.389495
MLS Listing,,Single Family Residential,1784 N Narrows Dr,Tacoma,WA,98406,674950,3,2.0,Narrows,1908,10685,1969,13,354,,Active,,,https://www.redfin.com/WA/Tacoma/1784-N-Narrows-Dr-98406/home/2976266,NWMLS,1937131,N,Y,47.2681434,-122.5326113
MLS Listing,,Condo/Co-op,8812 20th Ave NE Unit A202,Seattle,WA,98115,424900,2,1.5,Maple Leaf,970,,1979,11,438,449,Active,,,https://www.redfin.com/WA/Seattle/8812-20th-Ave-NE-98115/unit-A202/home/17145934,NWMLS,1925270,N,Y,47.6925523,-122.3067912
MLS Listing,,Single Family Residential,1650 Huson Dr,Tacoma,WA,98405,599950,4,2.5,Central Tacoma,1791,13672,1960,15,335,,Active,,,https://www.redfin.com/WA/Tacoma/1650-Huson-Dr-98405/home/2797597,NWMLS,1933221,N,Y,47.2446921,-122.5037975
MLS Listing,,Condo/Co-op,1808 Minor Ave #2307,Seattle,WA,98101,699999,1,1.0,Seattle,665,,2020,15,1053,589,Active,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-2307/home/172710493,NWMLS,1935322,N,Y,47.6169899,-122.3305817
MLS Listing,,Condo/Co-op,4020 Aurora Ave N #201,Seattle,WA,98103,489950,2,2.0,Wallingford,1131,18528,2002,20,433,779,Active,,,https://www.redfin.com/WA/Seattle/4020-Aurora-Ave-N-98103/unit-201/home/46208,NWMLS,1930978,N,Y,47.6561593,-122.3467937
MLS Listing,,Condo/Co-op,588 Bell St #305,Seattle,WA,98121,885000,2,2.0,Downtown,1054,,2015,20,840,1050,Active,,,https://www.redfin.com/WA/Seattle/588-Bell-St-98121/unit-305/home/106723684,NWMLS,1930970,N,Y,47.616559,-122.3427516
MLS Listing,,Single Family Residential,15414 38th Ave E,Tacoma,WA,98446,499950,3,2.5,Parkland,1604,87310,1966,20,312,,Active,,,https://www.redfin.com/WA/Tacoma/15414-38th-Ave-E-98446/home/22789288,NWMLS,1931361,N,Y,47.116222,-122.380339
MLS Listing,,Single Family Residential,5020 S Mullen St,Tacoma,WA,98409,635000,4,2.5,Tacoma,2040,8045,2001,20,311,,Active,,,https://www.redfin.com/WA/Tacoma/5020-S-Mullen-St-98409/home/2998510,NWMLS,1930532,N,Y,47.2106616,-122.5024547
